rank,team,power_score,elo_rating,model_strength
1,brazil,1.0,1563.4110634961276,0.5289607684808033
2,netherlands,0.8712693745608173,1548.4446260822774,0.5222084284262125
3,peru,0.8100702401279706,1538.2736200452096,0.5224378267686205
4,thailand,0.7405654053710318,1535.1533717600078,0.5132088915414528
5,india,0.7141903909888265,1526.4816210463125,0.5181344107915328
6,pakistan,0.712094590397042,1528.2607584690788,0.515747763029285
7,china,0.6440244822526429,1523.9225623419773,0.5081526602729578
8,panama,0.6222905520420735,1511.3109680361183,0.5183633355613037
9,iceland,0.6088687585672142,1522.7048072903915,0.5030789170494765
10,philippines,0.5170784070195514,1507.4412097845222,0.5034325234597875
11,ethiopia,0.5133674676202076,1510.5914480203937,0.49920659411898505
12,guatemala,0.4838426065447041,1504.5936206513024,0.5005451430287406
13,indonesia,0.4509920506004762,1501.418995175003,0.4980964698871889
14,serbia,0.4488424658312656,1503.2437903016566,0.4956485739855816
15,singapore,0.4219048194016426,1495.049661235141,0.49993338126993275
16,new_zealand,0.4133583177644135,1502.3048366350029,0.4902008289042638
17,saudi_arabia,0.39020869013893483,1490.8950361734953,0.4987993417184812
18,vietnam,0.3901634532255297,1490.9334380547912,0.49874782699967135
19,uk,0.3899320923708627,1491.1298416421878,0.49848435877267516
20,south_korea,0.3864452392620874,1494.0898517108162,0.4945136135586619
21,mexico,0.3585432560504818,1486.7143537982727,0.49770025709987686
22,uae,0.3572178626025504,1487.839488075052,0.4961909306310271
23,france,0.3279674049085316,1481.6087180649367,0.49784196357142707
24,morocco,0.31972310746701527,1488.6073505494,0.4884535541410488
25,germany,0.2920012019954954,1481.078983586424,0.491845265920652
26,canada,0.2903396713524743,1482.4894667009237,0.48995315442559123
27,switzerland,0.2901883130011504,1482.6179556936954,0.48978079114260475
28,usa,0.26332360754871775,1474.3619066035394,0.4941486618733011
29,oman,0.25739126073094576,1479.3979106345078,0.48739304670980693
30,rwanda,0.1009961767380407,1456.854339231991,0.48409783761562125
31,kazakhstan,0.09803420037625246,1459.3687783495618,0.4807248095310751
32,mongolia,0.0,1449.4056207598828,0.47396806971235284
